id,region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,VIN,drive,size,type,paint_color,state
7313994206,detroit metro,16590,2009.0,bmw,1 series 135i convertible 2d,good,,gas,55930.0,clean,other,WBAUN93599VK40238,rwd,,convertible,,mi
7310591183,tyler / east TX,8675,2014.0,jeep,patriot sport,excellent,4 cylinders,gas,146000.0,clean,automatic,,,,,,tx
7315899387,oregon coast,7999,2008.0,honda,civic,,4 cylinders,gas,126960.0,clean,other,2HGFA16568H340374,fwd,,sedan,silver,or
7314792728,orlando,32995,2018.0,toyota,tacoma,,6 cylinders,gas,37867.0,clean,automatic,5TFAZ5CN7JX070201,rwd,,truck,,fl
7315460361,denver,11988,2016.0,chevrolet,cruze,,4 cylinders,gas,74522.0,clean,automatic,1G1PC5SH6G7216841,fwd,,sedan,silver,co
7314992326,"kansas city, MO",23483,2015.0,mercedes-benz,m-class,,,gas,71504.0,clean,automatic,,,,,black,ks
7315342684,san diego,7995,2016.0,nissan,sentra,excellent,4 cylinders,gas,97000.0,clean,automatic,,fwd,,sedan,white,ca
7312960270,boise,22991,2016.0,toyota,rav4,,,gas,47672.0,clean,automatic,2T3DFREV1GW438945,4wd,,wagon,silver,id
7307621353,space coast,66900,2021.0,honda,odyssey exl,excellent,6 cylinders,gas,5.0,,automatic,5FNRL6H79MB021567,,,van,,fl
7313259795,baltimore,6800,2010.0,mazda,6,excellent,4 cylinders,gas,109000.0,clean,automatic,,fwd,,,,md
7315245537,"st louis, MO",57341,2019.0,chevrolet,silverado 1500,,,gas,39356.0,clean,automatic,,4wd,,pickup,,il
7315059747,eugene,0,2019.0,toyota,tundra,,8 cylinders,gas,23206.0,clean,automatic,5TFDY5F17KX780144,4wd,,truck,,or
7310342953,missoula,8490,2001.0,ford,f-150,good,8 cylinders,gas,170010.0,clean,automatic,1FTRW08L61KC00326,4wd,full-size,truck,custom,mt
7316154670,knoxville,13432,2015.0,honda,civic,,,gas,70425.0,clean,automatic,,,,,,tn
7316516174,indianapolis,1200,1995.0,chevrolet,,fair,8 cylinders,diesel,207000.0,clean,automatic,,rwd,full-size,truck,white,in
7303204779,southeast missouri,326,2010.0,ford,mustang,,8 cylinders,gas,45465.0,clean,automatic,1ZVBP8FH3A5102362,rwd,sub-compact,convertible,red,mo
7313567866,hawaii,9990,2010.0,honda,civic lx,like new,4 cylinders,gas,89934.0,clean,automatic,19XFA1F59AE038187,fwd,full-size,sedan,custom,hi
7316160287,corpus christi,13500,2011.0,bmw,128i convertible,like new,6 cylinders,gas,48500.0,clean,automatic,,rwd,,convertible,blue,tx
7313521054,buffalo,10999,2014.0,honda,accord,,,gas,138000.0,clean,automatic,,,,,,ny
7306188405,south jersey,8995,2011.0,hyundai,sonata,excellent,,gas,107780.0,clean,automatic,,fwd,,sedan,silver,nj
7315484146,inland empire,0,2015.0,ford,explorer,,,gas,140570.0,clean,automatic,1FM5K8GT8FGA77340,,full-size,SUV,grey,ca
7302669182,knoxville,14990,2011.0,chevrolet,camaro lt,,6 cylinders,gas,78399.0,clean,automatic,2G1FC1ED0B9155426,rwd,,coupe,black,tn
7308757046,fargo / moorhead,3800,2004.0,jeep,grand cherokee limited,,8 cylinders,gas,200000.0,clean,automatic,,4wd,mid-size,,,mn
